item_id,item_name,purchased_store_name
1,Laptop,ZoneX
2,Desktop PC,Game Street
3,Monitor,Chama Computers
4,Keyboard,ZoneX
5,Mouse,Game Street
6,Printer,Chama Computers
7,Scanner,Game Street
8,Webcam,Game Street
9,Headphones,Game Street
10,Speakers,Chama Computers
11,External Hard Drive,ZoneX
12,USB Flash Drive,Chama Computers
13,SSD (Solid State Drive),ZoneX
14,Graphics Card,ZoneX
15,RAM (Memory Module),Chama Computers
16,Power Supply Unit,Game Street
17,Motherboard,Game Street
18,Laptop Charger,ZoneX
19,Cooling Pad,Game Street
20,Gaming Mousepad,Game Street
21,HDMI Cable,Chama Computers
22,Ethernet Cable,ZoneX
23,Wi-Fi Adapter,Chama Computers
24,Webcam Cover,Game Street
25,Laptop Stand,ZoneX
26,Ballpoint Pens,Gunasena Book Shop
27,Pencils,Sarasavi Book Shop
28,Erasers,Sarasavi Book Shop
29,Pencil Sharpeners,Gunasena Book Shop
30,Highlighters,Gunasena Book Shop
31,Permanent Markers,Sarasavi Book Shop
32,Whiteboard Markers,Gunasena Book Shop
33,Ruler,Sarasavi Book Shop
34,Scissors,Sarasavi Book Shop
35,Glue Stick,Gunasena Book Shop
36,Stapler,Gunasena Book Shop
37,Staples,Sarasavi Book Shop
38,Paper Clips,Sarasavi Book Shop
39,Binder Clips,Sarasavi Book Shop
40,A4 Papers,Sarasavi Book Shop
41,Notebooks,Gunasena Book Shop
42,File Folders,Gunasena Book Shop
43,Envelopes,Gunasena Book Shop
44,Sticky Notes,Sarasavi Book Shop
45,Correction Tape,Gunasena Book Shop
46,Geometry Box,Sarasavi Book Shop
47,Drawing Book,Gunasena Book Shop
48,Calculator,Gunasena Book Shop
49,Desk Organizer,Sarasavi Book Shop
50,Tape Dispenser,Sarasavi Book Shop
